Time,Voltage,,Time,Voltage
,,,,
0,0.191045869,,0,5.175939207
0.000159952,0.696432386,,0.000159952,5.142063662
0.000319904,1.167638173,,0.000319904,5.135044404
0.000479856,1.65929136,,0.000479856,5.135044404
0.000639808,2.110049745,,0.000639808,5.148777734
0.00079976,2.56080813,,0.00079976,5.121311075
0.000959712,2.997833186,,0.000959712,5.107882931
0.001119664,3.380535295,,0.001119664,5.080416272
0.001279616,3.73546556,,0.001279616,5.100863674
0.001439568,4.063234352,,0.001439568,5.0737022
0.00159952,4.336375011,,0.00159952,5.0737022
0.001759472,4.568620869,,0.001759472,5.046235542
0.001919424,4.759971923,,0.001919424,5.053254799
0.002079376,4.889675588,,0.002079376,5.066682943
0.002239328,5.005951109,,0.002239328,5.03952147
0.00239928,5.019379254,,0.00239928,5.012054811
0.002559232,5.026398511,,0.002559232,5.012054811
0.002719184,4.951017792,,0.002719184,5.005340739
0.002879136,4.855494858,,0.002879136,5.005340739
0.003039088,4.691610462,,0.003039088,4.998626667
0.00319904,4.479812006,,0.00319904,4.978179266
0.003358992,4.234138005,,0.003358992,4.964445936
0.003518944,3.947264016,,0.003518944,4.964445936
0.003678896,3.605761895,,0.003678896,4.950712607
0.003838848,3.230079043,,0.003838848,4.936979278
0.0039988,2.840968047,,0.0039988,4.930265206
0.004158752,2.410657064,,0.004158752,4.943998535
0.004318704,1.946165349,,0.004318704,4.916531877
0.004478656,1.474959563,,0.004478656,4.923551134
0.004638608,0.969573046,,0.004638608,4.902798547
0.00479856,0.477919858,,0.00479856,4.889370403
0.004958512,-0.04791406,,0.004958512,-5.149082919
0.005118464,-0.532853175,,0.005118464,-5.142368847
0.005278416,-1.024506363,,0.005278416,-5.101168859
0.005438368,-1.536912137,,0.005438368,-5.101168859
0.00559832,-1.980651265,,0.00559832,-5.094454787
0.005758272,-2.445142979,,0.005758272,-5.074007385
0.005918224,-2.854701376,,0.005918224,-5.087740715
0.006078176,-3.264564959,,0.006078176,-5.066988128
0.006238128,-3.65398114,,0.006238128,-5.087740715
0.00639808,-3.974730674,,0.00639808,-5.074007385
0.006558032,-4.26862392,,0.006558032,-5.066988128
0.006717984,-4.500869778,,0.006717984,-5.046540727
0.006877936,-4.698934904,,0.006877936,-5.046540727
0.007037888,-4.869533372,,0.007037888,-5.026093326
0.00719784,-4.924161504,,0.00719784,-5.019379254
0.007357792,-5.006256294,,0.007357792,-5.019379254
0.007517744,-5.006256294,,0.007517744,-4.998931852
0.007677696,-4.965056307,,0.007677696,-4.991912595
0.007837648,-4.855800043,,0.007837648,-4.998931852
0.0079976,-4.712363048,,0.0079976,-4.971465194
0.008157552,-4.514297922,,0.008157552,-4.985198523
0.008317504,-4.261604663,,0.008317504,-4.957731864
0.008477456,-4.002197333,,0.008477456,-4.957731864
0.008637408,-3.674428541,,0.008637408,-4.951017792
0.00879736,-3.312479019,,0.00879736,-4.94430372
0.008957312,-2.923062838,,0.008957312,-4.930570391
0.009117264,-2.486037782,,0.009117264,-4.916837062
0.009277216,-2.042298654,,0.009277216,-4.91012299
0.009437168,-1.570787683,,0.009437168,-4.889675588
0.00959712,-1.079134495,,0.00959712,-4.882656331
0.009757072,-0.594195379,,0.009757072,-4.889675588
0.009917024,-0.088808863,,0.009917024,5.169225135
0.010076976,0.430005799,,0.010076976,5.135044404
0.010236928,0.942411573,,0.010236928,5.169225135
0.01039688,1.427045503,,0.01039688,5.135044404
0.010556832,1.877803888,,0.010556832,5.135044404
0.010716784,2.356028932,,0.010716784,5.128330332
0.010876736,2.779320658,,0.010876736,5.107882931
0.011036688,3.216650899,,0.011036688,5.107882931
0.01119664,3.544419691,,0.01119664,5.107882931
0.011356592,3.878902554,,0.011356592,5.080416272
0.011516544,4.186223945,,0.011516544,5.0737022
0.011676496,4.452650533,,0.011676496,5.0737022
0.011836448,4.664448988,,0.011836448,5.059968871
0.0119964,4.841761528,,0.0119964,5.046235542
0.012156352,4.951017792,,0.012156352,5.046235542
0.012316304,5.019379254,,0.012316304,5.019074068
0.012476256,5.019379254,,0.012476256,5.032807398
0.012636208,5.019379254,,0.012636208,5.012054811
0.01279616,4.917142247,,0.01279616,5.005340739
0.012956112,4.780419324,,0.012956112,5.005340739
0.013116064,4.58906827,,0.013116064,4.99160741
0.013276016,4.357127598,,0.013276016,4.978179266
0.013435968,4.104434339,,0.013435968,4.984893338
0.01359592,3.78337962,,0.01359592,4.964445936
0.013755872,3.435163427,,0.013755872,4.957426679
0.013915824,3.052461318,,0.013915824,4.936979278
0.014075776,2.635883663,,0.014075776,4.950712607
0.014235728,2.192144536,,0.014235728,4.923551134
0.01439568,1.720938749,,0.01439568,4.923551134
0.014555632,1.222266305,,0.014555632,4.902798547
0.014715584,0.744346446,,0.014715584,4.902798547
